Chunk Size,Overlap,Embedding Model,Vector DB,LLM,Index Time (s),Index Memory (MB),Avg Query Time (s),Avg Query Memory (MB),Score
500,100,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,llama3.2:latest,1.29167628,158.21875,0.09,2.96,8
500,100,sentence-transformers/all-MiniLM-L6-v2,FAISS,mistral:latest,1.20482016,114.109375,0.13,0.52,7
500,100,sentence-transformers/all-MiniLM-L6-v2,FAISS,llama3.2:latest,1.25715399,157.890625,0.05,0.92,8
500,100,sentence-transformers/all-mpnet-base-v2,Redis,mistral:latest,4.62470007,353.421875,0.13,1.11,6
500,100,sentence-transformers/all-mpnet-base-v2,Redis,llama3.2:latest,3.12495208,433.921875,0.07,2.82,3
500,100,sentence-transformers/all-mpnet-base-v2,ChromaDB,mistral:latest,2.65283918,421.03125,0.12,7.8,7
500,100,sentence-transformers/all-mpnet-base-v2,ChromaDB,llama3.2:latest,3.1555531,443.953125,0.07,3.13,8
500,100,sentence-transformers/all-mpnet-base-v2,FAISS,mistral:latest,2.80484486,389.734375,0.14,3.22,8
500,100,sentence-transformers/all-mpnet-base-v2,FAISS,llama3.2:latest,3.07910609,447.28125,0.07,1.11,8
500,100,InstructorXL,Redis,mistral:latest,33.6985872,209.484375,0.24,4.31,6
500,100,InstructorXL,Redis,llama3.2:latest,28.529763,530.140625,0.08,2.78,4
500,100,InstructorXL,ChromaDB,mistral:latest,21.3764391,514.265625,0.25,9.15,7
500,100,InstructorXL,ChromaDB,llama3.2:latest,28.4316859,527.734375,0.27,9.94,8
500,100,InstructorXL,FAISS,mistral:latest,23.2641852,526.859375,0.18,6.59,7
500,100,InstructorXL,FAISS,llama3.2:latest,28.5417442,527.09375,0.1,4.12,7
1000,0,sentence-transformers/all-MiniLM-L6-v2,Redis,mistral:latest,1.63734126,156.046875,0.21,2.89,8
1000,0,sentence-transformers/all-MiniLM-L6-v2,Redis,llama3.2:latest,1.25057101,154.796875,0.05,0.27,8
1000,0,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,mistral:latest,1.05600619,103.5625,0.13,8.04,8
1000,0,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,llama3.2:latest,1.3728981,160.703125,0.08,3.41,8
1000,0,sentence-transformers/all-MiniLM-L6-v2,FAISS,mistral:latest,1.05440998,137.640625,0.1,1.64,7
1000,0,sentence-transformers/all-MiniLM-L6-v2,FAISS,llama3.2:latest,1.20600867,158.125,0.07,1.05,8
1000,0,sentence-transformers/all-mpnet-base-v2,Redis,mistral:latest,4.62142515,340.75,0.17,2.18,5
1000,0,sentence-transformers/all-mpnet-base-v2,Redis,llama3.2:latest,3.02829885,439.265625,0.07,1.54,3
1000,0,sentence-transformers/all-mpnet-base-v2,ChromaDB,mistral:latest,2.73227906,397.609375,0.1,6.27,8
1000,0,sentence-transformers/all-mpnet-base-v2,ChromaDB,llama3.2:latest,3.16855383,440.96875,0.07,3.19,8
1000,0,sentence-transformers/all-mpnet-base-v2,FAISS,mistral:latest,2.72153306,386.734375,0.14,1.55,8
1000,0,sentence-transformers/all-mpnet-base-v2,FAISS,llama3.2:latest,3.10641718,447.125,0.06,0.98,7
1000,0,InstructorXL,Redis,mistral:latest,33.4052329,344.640625,0.25,3.05,6
1000,0,InstructorXL,Redis,llama3.2:latest,29.644026,419.3125,0.18,2.82,3
1000,0,InstructorXL,ChromaDB,mistral:latest,21.8722081,498.765625,0.4,17.29,8
1000,0,InstructorXL,ChromaDB,llama3.2:latest,29.9459109,506.796875,0.11,9.74,8
1000,0,InstructorXL,FAISS,mistral:latest,25.0550671,490.578125,0.22,1.71,6
1000,0,InstructorXL,FAISS,llama3.2:latest,28.57025,517.09375,0.1,4.53,7.5
1000,50,sentence-transformers/all-MiniLM-L6-v2,Redis,mistral:latest,4.39496922,147.46875,0.14,2.73,7
1000,50,sentence-transformers/all-MiniLM-L6-v2,Redis,llama3.2:latest,1.35564399,158.5,0.08,0.95,7.5
1000,50,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,mistral:latest,1.09010506,123.875,0.11,6.68,8.5
1000,50,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,llama3.2:latest,1.41943407,158.640625,0.1,8.51,7.5
1000,50,sentence-transformers/all-MiniLM-L6-v2,FAISS,mistral:latest,1.24612999,136.78125,0.21,2.9,8
1000,50,sentence-transformers/all-MiniLM-L6-v2,FAISS,llama3.2:latest,1.36729383,154.875,0.06,1.67,7
1000,50,sentence-transformers/all-mpnet-base-v2,Redis,mistral:latest,4.81868815,277.125,0.06,3.29,5
1000,50,sentence-transformers/all-mpnet-base-v2,Redis,llama3.2:latest,3.00010371,415,0.06,1.28,4.5
1000,50,sentence-transformers/all-mpnet-base-v2,ChromaDB,mistral:latest,2.61734986,407.4375,0.1,6.86,8
1000,50,sentence-transformers/all-mpnet-base-v2,ChromaDB,llama3.2:latest,3.18252707,442.359375,0.08,2.77,8
1000,50,sentence-transformers/all-mpnet-base-v2,FAISS,mistral:latest,2.6344378,415.796875,0.11,2.56,8.5
1000,50,sentence-transformers/all-mpnet-base-v2,FAISS,llama3.2:latest,3.07312107,436.171875,0.05,1.65,7.5
1000,50,InstructorXL,Redis,mistral:latest,31.9024892,364.28,0.13,2.34,6
1000,50,InstructorXL,Redis,llama3.2:latest,25.1622713,467.453125,0.14,1.34,5.5
1000,50,InstructorXL,ChromaDB,mistral:latest,22.3662863,524.859375,0.16,5.99,8
1000,50,InstructorXL,ChromaDB,llama3.2:latest,26.560431,523.859375,0.15,11.42,9
1000,50,InstructorXL,FAISS,mistral:latest,21.8087242,512.6875,0.1,5.93,8.5
1000,50,InstructorXL,FAISS,llama3.2:latest,27.139811,479.953125,0.1,2.04,8
1000,100,sentence-transformers/all-MiniLM-L6-v2,Redis,mistral:latest,1.52133584,152.5625,0.14,0.98,9
1000,100,sentence-transformers/all-MiniLM-L6-v2,Redis,llama3.2:latest,1.34857321,157.03125,0.07,1.02,9
1000,100,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,mistral:latest,1.08646107,140.703125,0.13,7.62,9
1000,100,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,llama3.2:latest,1.3543129,156.53125,0.08,3.69,9
1000,100,sentence-transformers/all-MiniLM-L6-v2,FAISS,mistral:latest,1.06972504,145.578125,0.14,1.97,8.5
1000,100,sentence-transformers/all-MiniLM-L6-v2,FAISS,llama3.2:latest,1.25513601,155.796875,0.07,0.94,8.5
1000,100,sentence-transformers/all-mpnet-base-v2,Redis,mistral:latest,4.45357609,299.84375,0.1,4.81,6
1000,100,sentence-transformers/all-mpnet-base-v2,Redis,llama3.2:latest,3.05777001,438.734375,0.07,1,4
1000,100,sentence-transformers/all-mpnet-base-v2,ChromaDB,mistral:latest,2.64673781,400.921875,0.11,4.6,8
1000,100,sentence-transformers/all-mpnet-base-v2,ChromaDB,llama3.2:latest,3.04836392,422.703125,0.07,4.76,8
1000,100,sentence-transformers/all-mpnet-base-v2,FAISS,mistral:latest,2.66311717,417.5625,0.04,1.76,8
1000,100,sentence-transformers/all-mpnet-base-v2,FAISS,llama3.2:latest,2.95948792,418.75,0.06,2.02,6
1000,100,InstructorXL,Redis,mistral:latest,31.6700051,366.796875,0.22,5.08,5
1000,100,InstructorXL,Redis,llama3.2:latest,26.773515,434.9375,0.07,2.43,5
1000,100,InstructorXL,ChromaDB,mistral:latest,23.629952,408.875,0.18,6.69,7
1000,100,InstructorXL,ChromaDB,llama3.2:latest,27.462563,438.015625,0.16,5.89,8
1000,100,InstructorXL,FAISS,mistral:latest,21.6762679,427.5,0.16,0.5,9
1000,100,InstructorXL,FAISS,llama3.2:latest,26.4527349,473.015625,0.11,2.12,9
